Istituzione Scolastica;Ordine Scolastico;Scuola/Indirizzo;Scuola/Indirizzo - Codice PAT;Numero Iscritti;Numero Classi
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;"SCUOLA PRIMARIA ""V. Maistrelli"" TUENNO";0222072101;118;8
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;SCUOLA PRIMARIA FLAVON;0220862101;52;5
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;SCUOLA PRIMARIA TASSULLO;0221872101;68;5
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;PRIMARIA;SCUOLA PRIMARIA VIGO TON;0222002101;53;5
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""E. Leonardi"" TUENNO";0222073001;118;7
ISTITUTO COMPRENSIVO BASSA ANAUNIA - TUENNO;SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""V. VIELMETTI"" DENNO";0220743001;167;8
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";PRIMARIA;"SCUOLA PRIMARIA ""B. PEZZEN"" CROVIANA";0220682101;71;5
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";PRIMARIA;"SCUOLA PRIMARIA ""C. CRISTOFORETTI"" MALE'";0221102101;114;7
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";PRIMARIA;SCUOLA PRIMARIA CALDES;0220332101;63;5
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";PRIMARIA;SCUOLA PRIMARIA DIMARO;0220752101;63;5
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";PRIMARIA;SCUOLA PRIMARIA S.BERNARDO RABBI;0221502101;51;5
"ISTITUTO COMPRENSIVO BASSA VAL DI SOLE ""G. Ciccolini""";SECONDARIA DI PRIMO GRADO;"SCUOLA SECONDARIA DI PRIMO GRADO ""G. CICCOLINI"" MALE'";0221103001;251;12
ISTITUTO COMPRENSIVO BORGO VALSUGANA;PRIMARIA;"SCUOLA PRIMARIA ""V. DA FELTRE"" BORGO VALSUGANA";0220222101;278;16
ISTITUTO COMPRENSIVO BORGO VALSUGANA;PRIMARIA;SCUOLA PRIMARIA GRIGNO;0220952101;73;5
